Variable	Table	SourceTermID	SourceTerm	MappedTermLabel	MappedTermCURIE	MappedTermIRI	MappingScore	Ontology
DR2TIRON	P_DR2TOT	DR2TIRON-P_DR2TOT	Iron (mg)	Dietary Iron	NCIT:C68256	http://purl.obolibrary.org/obo/NCIT_C68256	0.872	NCIT
DR2TKCAL	DR2TOT_C	DR2TKCAL-DR2TOT_C	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_D	DR2TKCAL-DR2TOT_D	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_E	DR2TKCAL-DR2TOT_E	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_F	DR2TKCAL-DR2TOT_F	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_G	DR2TKCAL-DR2TOT_G	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_H	DR2TKCAL-DR2TOT_H	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_I	DR2TKCAL-DR2TOT_I	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	DR2TOT_J	DR2TKCAL-DR2TOT_J	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TKCAL	P_DR2TOT	DR2TKCAL-P_DR2TOT	Energy (kcal)	Energy	NCIT:C48058	http://purl.obolibrary.org/obo/NCIT_C48058	0.77	NCIT
DR2TLYCO	DR2TOT_C	DR2TLYCO-DR2TOT_C	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_D	DR2TLYCO-DR2TOT_D	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_E	DR2TLYCO-DR2TOT_E	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_F	DR2TLYCO-DR2TOT_F	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_G	DR2TLYCO-DR2TOT_G	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_H	DR2TLYCO-DR2TOT_H	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_I	DR2TLYCO-DR2TOT_I	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	DR2TOT_J	DR2TLYCO-DR2TOT_J	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLYCO	P_DR2TOT	DR2TLYCO-P_DR2TOT	Lycopene (mcg)	Lycopene	NCIT:C2226	http://purl.obolibrary.org/obo/NCIT_C2226	0.882	NCIT
DR2TLZ	DR2TOT_C	DR2TLZ-DR2TOT_C	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_D	DR2TLZ-DR2TOT_D	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_E	DR2TLZ-DR2TOT_E	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_F	DR2TLZ-DR2TOT_F	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_G	DR2TLZ-DR2TOT_G	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_H	DR2TLZ-DR2TOT_H	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_I	DR2TLZ-DR2TOT_I	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	DR2TOT_J	DR2TLZ-DR2TOT_J	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TLZ	P_DR2TOT	DR2TLZ-P_DR2TOT	Lutein + zeaxanthin (mcg)	Dietary Lutein and Zeaxanthin Measurement	NCIT:C184473	http://purl.obolibrary.org/obo/NCIT_C184473	0.79	NCIT
DR2TMAGN	DR2TOT_C	DR2TMAGN-DR2TOT_C	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_D	DR2TMAGN-DR2TOT_D	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_E	DR2TMAGN-DR2TOT_E	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_F	DR2TMAGN-DR2TOT_F	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_G	DR2TMAGN-DR2TOT_G	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_H	DR2TMAGN-DR2TOT_H	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_I	DR2TMAGN-DR2TOT_I	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	DR2TOT_J	DR2TMAGN-DR2TOT_J	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMAGN	P_DR2TOT	DR2TMAGN-P_DR2TOT	Magnesium (mg)	Dietary Magnesium	NCIT:C68264	http://purl.obolibrary.org/obo/NCIT_C68264	0.941	NCIT
DR2TMFAT	DR2TOT_C	DR2TMFAT-DR2TOT_C	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_D	DR2TMFAT-DR2TOT_D	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_E	DR2TMFAT-DR2TOT_E	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_F	DR2TMFAT-DR2TOT_F	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_G	DR2TMFAT-DR2TOT_G	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_H	DR2TMFAT-DR2TOT_H	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_I	DR2TMFAT-DR2TOT_I	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	DR2TOT_J	DR2TMFAT-DR2TOT_J	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMFAT	P_DR2TOT	DR2TMFAT-P_DR2TOT	Total monounsaturated fatty acids (gm)	Monounsaturated Fatty Acid	NCIT:C68392	http://purl.obolibrary.org/obo/NCIT_C68392	0.88	NCIT
DR2TMOIS	DR2TOT_C	DR2TMOIS-DR2TOT_C	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_D	DR2TMOIS-DR2TOT_D	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_E	DR2TMOIS-DR2TOT_E	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_F	DR2TMOIS-DR2TOT_F	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_G	DR2TMOIS-DR2TOT_G	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_H	DR2TMOIS-DR2TOT_H	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_I	DR2TMOIS-DR2TOT_I	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	DR2TOT_J	DR2TMOIS-DR2TOT_J	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TMOIS	P_DR2TOT	DR2TMOIS-P_DR2TOT	Moisture (gm)	Vaginal Moisture	NCIT:C185357	http://purl.obolibrary.org/obo/NCIT_C185357	0.712	NCIT
DR2TNIAC	DR2TOT_C	DR2TNIAC-DR2TOT_C	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_D	DR2TNIAC-DR2TOT_D	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_E	DR2TNIAC-DR2TOT_E	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_F	DR2TNIAC-DR2TOT_F	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_G	DR2TNIAC-DR2TOT_G	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_H	DR2TNIAC-DR2TOT_H	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_I	DR2TNIAC-DR2TOT_I	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	DR2TOT_J	DR2TNIAC-DR2TOT_J	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNIAC	P_DR2TOT	DR2TNIAC-P_DR2TOT	Niacin (mg)	Niacin	NCIT:C689	http://purl.obolibrary.org/obo/NCIT_C689	0.908	NCIT
DR2TNUMF	DR2TOT_D	DR2TNUMF-DR2TOT_D	Number of foods reported	Copy Number	NCIT:C49142	http://purl.obolibrary.org/obo/NCIT_C49142	0.723	NCIT
DR2TNUMF	DR2TOT_E	DR2TNUMF-DR2TOT_E	Number of foods reported	Copy Number	NCIT:C49142	http://purl.obolibrary.org/obo/NCIT_C49142	0.723	NCIT
DR2TNUMF	DR2TOT_F	DR2TNUMF-DR2TOT_F	Number of foods reported	Copy Number	NCIT:C49142	http://purl.obolibrary.org/obo/NCIT_C49142	0.723	NCIT
DR2TNUMF	DR2TOT_G	DR2TNUMF-DR2TOT_G	Number of foods reported	Copy Number	NCIT:C49142	http://purl.obolibrary.org/obo/NCIT_C49142	0.723	NCIT
DR2TNUMF	DR2TOT_C	DR2TNUMF-DR2TOT_C	Number of foods	Count	NCIT:C25463	http://purl.obolibrary.org/obo/NCIT_C25463	0.716	NCIT
DR2TP182	DR2TOT_C	DR2TP182-DR2TOT_C	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_D	DR2TP182-DR2TOT_D	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_E	DR2TP182-DR2TOT_E	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_F	DR2TP182-DR2TOT_F	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_G	DR2TP182-DR2TOT_G	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_H	DR2TP182-DR2TOT_H	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_I	DR2TP182-DR2TOT_I	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	DR2TOT_J	DR2TP182-DR2TOT_J	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP182	P_DR2TOT	DR2TP182-P_DR2TOT	PFA 18:2 (Octadecadienoic) (gm)	Octadecadienoic Acid	NCIT:C68398	http://purl.obolibrary.org/obo/NCIT_C68398	0.755	NCIT
DR2TP183	DR2TOT_C	DR2TP183-DR2TOT_C	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_D	DR2TP183-DR2TOT_D	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_E	DR2TP183-DR2TOT_E	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_F	DR2TP183-DR2TOT_F	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_G	DR2TP183-DR2TOT_G	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_H	DR2TP183-DR2TOT_H	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_I	DR2TP183-DR2TOT_I	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	DR2TOT_J	DR2TP183-DR2TOT_J	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP183	P_DR2TOT	DR2TP183-P_DR2TOT	PFA 18:3 (Octadecatrienoic) (gm)	Octadecatrienoic Acid	NCIT:C68403	http://purl.obolibrary.org/obo/NCIT_C68403	0.748	NCIT
DR2TP184	DR2TOT_C	DR2TP184-DR2TOT_C	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_D	DR2TP184-DR2TOT_D	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_E	DR2TP184-DR2TOT_E	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_F	DR2TP184-DR2TOT_F	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_G	DR2TP184-DR2TOT_G	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_H	DR2TP184-DR2TOT_H	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_I	DR2TP184-DR2TOT_I	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	DR2TOT_J	DR2TP184-DR2TOT_J	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP184	P_DR2TOT	DR2TP184-P_DR2TOT	PFA 18:4 (Octadecatetraenoic) (gm)	Parinaric Acid	NCIT:C68409	http://purl.obolibrary.org/obo/NCIT_C68409	0.769	NCIT
DR2TP204	DR2TOT_C	DR2TP204-DR2TOT_C	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_D	DR2TP204-DR2TOT_D	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_E	DR2TP204-DR2TOT_E	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_F	DR2TP204-DR2TOT_F	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_G	DR2TP204-DR2TOT_G	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_H	DR2TP204-DR2TOT_H	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_I	DR2TP204-DR2TOT_I	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	DR2TOT_J	DR2TP204-DR2TOT_J	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP204	P_DR2TOT	DR2TP204-P_DR2TOT	PFA 20:4 (Eicosatetraenoic) (gm)	Eicosatetraenoic Acid	NCIT:C68357	http://purl.obolibrary.org/obo/NCIT_C68357	0.763	NCIT
DR2TP205	DR2TOT_C	DR2TP205-DR2TOT_C	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_D	DR2TP205-DR2TOT_D	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_E	DR2TP205-DR2TOT_E	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_F	DR2TP205-DR2TOT_F	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_G	DR2TP205-DR2TOT_G	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_H	DR2TP205-DR2TOT_H	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_I	DR2TP205-DR2TOT_I	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	DR2TOT_J	DR2TP205-DR2TOT_J	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP205	P_DR2TOT	DR2TP205-P_DR2TOT	PFA 20:5 (Eicosapentaenoic) (gm)	Eicosapentaenoic Acid	NCIT:C67080	http://purl.obolibrary.org/obo/NCIT_C67080	0.778	NCIT
DR2TP225	DR2TOT_C	DR2TP225-DR2TOT_C	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_D	DR2TP225-DR2TOT_D	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_E	DR2TP225-DR2TOT_E	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_F	DR2TP225-DR2TOT_F	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_G	DR2TP225-DR2TOT_G	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_H	DR2TP225-DR2TOT_H	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_I	DR2TP225-DR2TOT_I	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	DR2TOT_J	DR2TP225-DR2TOT_J	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP225	P_DR2TOT	DR2TP225-P_DR2TOT	PFA 22:5 (Docosapentaenoic) (gm)	Docosapentaenoic Acid	NCIT:C68347	http://purl.obolibrary.org/obo/NCIT_C68347	0.768	NCIT
DR2TP226	DR2TOT_C	DR2TP226-DR2TOT_C	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_D	DR2TP226-DR2TOT_D	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_E	DR2TP226-DR2TOT_E	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_F	DR2TP226-DR2TOT_F	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_G	DR2TP226-DR2TOT_G	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_H	DR2TP226-DR2TOT_H	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_I	DR2TP226-DR2TOT_I	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
DR2TP226	DR2TOT_J	DR2TP226-DR2TOT_J	PFA 22:6 (Docosahexaenoic) (gm)	Docosahexaenoic Acid	NCIT:C68345	http://purl.obolibrary.org/obo/NCIT_C68345	0.778	NCIT
