Variable	Table	Synonym
OHD23LAD	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD23LAM	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD23LAS	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD23PCD	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, distofacial site measuring pocket depth in mm"
OHD23PCM	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, midfacial site measuring pocket depth in mm"
OHD23PCS	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, mesiofacial site measuring pocket depth in mm"
OHD24CJD	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD24CJM	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD24CJS	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD24LAD	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD24LAM	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD24LAS	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD24PCD	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, distofacial site measuring pocket depth in mm"
OHD24PCM	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, midfacial site measuring pocket depth in mm"
OHD24PCS	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, mesiofacial site measuring pocket depth in mm"
OHD25CJD	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD25CJM	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD25CJS	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD25LAD	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD25LAM	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD25LAS	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD25PCD	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, distofacial site measuring pocket depth in mm"
OHD25PCM	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, midfacial site measuring pocket depth in mm"
OHD25PCS	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, mesiofacial site measuring pocket depth in mm"
OHD26CJD	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD26CJM	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD26CJS	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD26LAD	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD26LAM	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD26LAS	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD26PCD	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, distofacial site measuring pocket depth in mm"
OHD26PCM	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, midfacial site measuring pocket depth in mm"
OHD26PCS	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, mesiofacial site measuring pocket depth in mm"
OHD27CJD	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD27CJM	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD27CJS	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD27LAD	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD27LAM	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD27LAS	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD27PCD	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, distofacial site measuring pocket depth in mm"
OHD27PCM	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, midfacial site measuring pocket depth in mm"
OHD27PCS	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, mesiofacial site measuring pocket depth in mm"
OHD28CJD	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD28CJM	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD28CJS	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD28LAD	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD28LAM	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD28LAS	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD28PCD	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, distofacial site measuring pocket depth in mm"
OHD28PCM	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, midfacial site measuring pocket depth in mm"
OHD28PCS	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, mesiofacial site measuring pocket depth in mm"
OHD29CJD	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD29CJM	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD29CJS	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD29LAD	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD29LAM	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD29LAS	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD29PCD	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, distofacial site measuring pocket depth in mm"
OHD29PCM	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, midfacial site measuring pocket depth in mm"
OHD29PCS	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, mesiofacial site measuring pocket depth in mm"
OHD30CJD	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD30CJM	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD30CJS	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD30LAD	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD30LAM	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD30LAS	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD30PCD	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, distofacial site measuring pocket depth in mm"
OHD30PCM	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, midfacial site measuring pocket depth in mm"
OHD30PCS	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, mesiofacial site measuring pocket depth in mm"
OHD31CJD	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD31CJM	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD31CJS	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD31LAD	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD31LAM	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD31LAS	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD31PCD	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, distofacial site measuring pocket depth in mm"
OHD31PCM	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, midfacial site measuring pocket depth in mm"
OHD31PCS	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, mesiofacial site measuring pocket depth in mm"
OHX18BPD	OHXPRL_C	"Peridontal attachment loss lower left 18th molar, distofacial site bleeding from probing"
OHX18BPM	OHXPRL_C	"Peridontal attachment loss lower left 18th molar, midfacial site bleeding from probing"
OHX18BPS	OHXPRL_C	"Peridontal attachment loss lower left 18th molar, mesiofacial site bleeding from probing"
OHX19BPD	OHXPRL_C	"Peridontal attachment loss lower left 19th molar, distofacial site bleeding from probing"
OHX19BPM	OHXPRL_C	"Peridontal attachment loss lower left 19th molar, midfacial site bleeding from probing"
OHX19BPS	OHXPRL_C	"Peridontal attachment loss lower left 19th molar, mesiofacial site bleeding from probing"
OHX20BPD	OHXPRL_C	"Peridontal attachment loss lower left 20th molar, distofacial site bleeding from probing"
OHX20BPM	OHXPRL_C	"Peridontal attachment loss lower left 20th molar, midfacial site bleeding from probing"
OHX20BPS	OHXPRL_C	"Peridontal attachment loss lower left 20th molar, mesiofacial site bleeding from probing"
OHX21BPD	OHXPRL_C	"Peridontal attachment loss lower left 21st molar, distofacial site bleeding from probing"
OHX21BPM	OHXPRL_C	"Peridontal attachment loss lower left 21st molar, midfacial site bleeding from probing"
OHX21BPS	OHXPRL_C	"Peridontal attachment loss lower left 21st molar, mesiofacial site bleeding from probing"
OHX22BPD	OHXPRL_C	"Peridontal attachment loss lower left 22nd molar, distofacial site bleeding from probing"
OHX22BPM	OHXPRL_C	"Peridontal attachment loss lower left 22nd molar, midfacial site bleeding from probing"
OHX22BPS	OHXPRL_C	"Peridontal attachment loss lower left 22nd molar, mesiofacial site bleeding from probing"
OHX23BPD	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, distofacial site bleeding from probing"
OHX23BPM	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, midfacial site bleeding from probing"
OHX23BPS	OHXPRL_C	"Peridontal attachment loss lower left 23rd molar, mesiofacial site bleeding from probing"
OHX24BPD	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, distofacial site bleeding from probing"
OHX24BPM	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, midfacial site bleeding from probing"
OHX24BPS	OHXPRL_C	"Peridontal attachment loss lower right 24th molar, mesiofacial site bleeding from probing"
OHX25BPD	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, distofacial site bleeding from probing"
OHX25BPM	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, midfacial site bleeding from probing"
OHX25BPS	OHXPRL_C	"Peridontal attachment loss lower right 25th molar, mesiofacial site bleeding from probing"
OHX26BPD	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, distofacial site bleeding from probing"
OHX26BPM	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, midfacial site bleeding from probing"
OHX26BPS	OHXPRL_C	"Peridontal attachment loss lower right 26th molar, mesiofacial site bleeding from probing"
OHX27BPD	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, distofacial site bleeding from probing"
OHX27BPM	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, midfacial site bleeding from probing"
OHX27BPS	OHXPRL_C	"Peridontal attachment loss lower right 27th molar, mesiofacial site bleeding from probing"
OHX28BPD	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, distofacial site bleeding from probing"
OHX28BPM	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, midfacial site bleeding from probing"
OHX28BPS	OHXPRL_C	"Peridontal attachment loss lower right 28th molar, mesiofacial site bleeding from probing"
OHX29BPD	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, distofacial site bleeding from probing"
OHX29BPM	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, midfacial site bleeding from probing"
OHX29BPS	OHXPRL_C	"Peridontal attachment loss lower right 29th molar, mesiofacial site bleeding from probing"
OHX30BPD	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, distofacial site bleeding from probing"
OHX30BPM	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, midfacial site bleeding from probing"
OHX30BPS	OHXPRL_C	"Peridontal attachment loss lower right 30th molar, mesiofacial site bleeding from probing"
OHX31BPD	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, distofacial site bleeding from probing"
OHX31BPM	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, midfacial site bleeding from probing"
OHX31BPS	OHXPRL_C	"Peridontal attachment loss lower right 31st molar, mesiofacial site bleeding from probing"
