"Table","Table Name","Data Group","Year"
"VIQ_C","Vision","QUESTIONNAIRE",2003
"WHQ_C","Weight History","QUESTIONNAIRE",2003
"CIQGAD_C","Mental Health - Generalized Anxiety Disorder","QUESTIONNAIRE",2003
"CIQDEP_C","Mental Health - Depression","QUESTIONNAIRE",2003
"CIQPAN_C","Mental Health - Panic Disorder","QUESTIONNAIRE",2003
"DEMO_D","Demographic Variables & Sample Weights","DEMOGRAPHICS",2005
"FFQRAW_D","Food Frequency Questionnaire - Raw Questionnaire Responses","DIETARY",2005
"FFQDC_D","Food Frequency Questionnaire - Output from DietCalc Software","DIETARY",2005
"DSQ1_D","Dietary Supplement Use 30-Day - File 1, Supplement Counts","DIETARY",2005
"DSQ2_D","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements","DIETARY",2005
"DR1IFF_D","Dietary Interview - Individual Foods, First Day","DIETARY",2005
"DR1TOT_D","Dietary Interview - Total Nutrient Intakes, First Day","DIETARY",2005
"DR2TOT_D","Dietary Interview - Total Nutrient Intakes, Second Day","DIETARY",2005
"DRXFCD_D","Dietary Interview Technical Support File - Food Codes","DIETARY",2005
"DRXMCD_D","Dietary Interview Technical Support File - Modification Codes","DIETARY",2005
"DR2IFF_D","Dietary Interview - Individual Foods, Second Day","DIETARY",2005
"BPX_D","Blood Pressure","EXAMINATION",2005
"BMX_D","Body Measures","EXAMINATION",2005
"AUX_D","Audiometry","EXAMINATION",2005
"AUXTYM_D","Audiometry - Tympanometry","EXAMINATION",2005
"DXXFEM_D","Dual Energy X-ray Absorptiometry - Femur","EXAMINATION",2005
"OPXFDT_D","Ophthalmology - Frequency Doubling Technology","EXAMINATION",2005
"OHX_D","Oral Health","EXAMINATION",2005
"PAXRAW_D","Physical Activity Monitor","EXAMINATION",2005
"VIX_D","Vision","EXAMINATION",2005
"DXXAG_D","Dual Energy X-ray Absorptiometry - Android/Gynoid","EXAMINATION",2005
"AUXAR_D","Audiometry - Acoustic Reflex","EXAMINATION",2005
"OPXRET_D","Ophthalmology - Retinal Imaging","EXAMINATION",2005
"DXXSPN_D","Dual Energy X-ray Absorptiometry - Spine","EXAMINATION",2005
"PbCd_D","Cadmium, Lead, & Total Mercury - Blood","LABORATORY",2005
"PP_D","Pesticides - Environmental - Urine","LABORATORY",2005
"PHTHTE_D","Phthalates - Urine","LABORATORY",2005
"OPD_D","Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine","LABORATORY",2005
"VOC_D","Volatile Organic Compounds - Water & Related Questionnaire Items","LABORATORY",2005
"UPP_D","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)","LABORATORY",2005
"TCHOL_D","Cholesterol - Total","LABORATORY",2005
"HDL_D","Cholesterol - HDL","LABORATORY",2005
"HSV_D","Herpes Simplex Virus Type-1 & Type-2","LABORATORY",2005
"VIT_B6_D","Vitamin B6","LABORATORY",2005
"PERNT_D","Perchlorate, Nitrate & Thiocyanate - Urine","LABORATORY",2005
"AL_IGE_D","Allergen Specific IgE(s) & Total IgE - Serum","LABORATORY",2005
"CBC_D","Complete Blood Count with 5-Part Differential - Whole Blood","LABORATORY",2005
"CRP_D","C-Reactive Protein (CRP)","LABORATORY",2005
"EPH_D","Environmental Phenols & Parabens","LABORATORY",2005
"EPP_D","Erythrocyte Protoporphyrin","LABORATORY",2005
"FERTIN_D","Ferritin","LABORATORY",2005
"FOLATE_D","Folate - RBC & Serum","LABORATORY",2005
"GHB_D","Glycohemoglobin","LABORATORY",2005
"HEPA_D","Hepatitis A Antibody","LABORATORY",2005
"HEPBD_D","Hepatitis B: Core Antibody, Surface Antigen; Hepatitis D Antibody","LABORATORY",2005
"HEPB_S_D","Hepatitis B Surface Antibody","LABORATORY",2005
"HEPC_D","Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype","LABORATORY",2005
"HCY_D","Homocysteine","LABORATORY",2005
"HIV_D","HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells","LABORATORY",2005
"FETIB_D","Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation","LABORATORY",2005
"PTH_D","Parathyroid Hormone","LABORATORY",2005
"WPIN_D","Perchlorate, Nitrate & Iodide - Tap Water","LABORATORY",2005
"FASTQX_D","Fasting Questionnaire","LABORATORY",2005
"GLU_D","Plasma Fasting Glucose & Insulin","LABORATORY",2005
"PFC_D","Polyfluoroalkyl Chemicals","LABORATORY",2005
"PSA_D","Prostate Specific Antigen (PSA)","LABORATORY",2005
"COT_D","Cotinine - Serum","LABORATORY",2005
"BIOPRO_D","Standard Biochemistry Profile","LABORATORY",2005
"UAS_D","Arsenics - Total & Speciated - Urine","LABORATORY",2005
"IHg_D","Mercury: Inorganic - Blood","LABORATORY",2005
"TFR_D","Transferrin Receptor","LABORATORY",2005
"TRIGLY_D","Cholesterol - LDL, Triglyceride & Apoliprotein (ApoB)","LABORATORY",2005
"OGTT_D","Oral Glucose Tolerance Test","LABORATORY",2005
"ALB_CR_D","Albumin & Creatinine - Urine","LABORATORY",2005
"CHLMDA_D","Chlamydia & Gonorrhea - Urine","LABORATORY",2005
"UIO_D","Iodine - Urine","LABORATORY",2005
"UHG_D","Mercury: Inorganic - Urine","LABORATORY",2005
"UHM_D","Metals - Urine","LABORATORY",2005
"UCPREG_D","Pregnancy Test - Urine","LABORATORY",2005
"VITAEC_D","Vitamin A, Vitamin E & Carotenoids","LABORATORY",2005
"B12_D","Vitamin B12","LABORATORY",2005
"VIC_D","Vitamin C","LABORATORY",2005
"PHYTO_D","Phytoestrogens - Urine","LABORATORY",2005
"VOCWB_D","Volatile Organic Compounds - Blood & Related Questionnaire Items","LABORATORY",2005
"SSEBV_D","Epstein-Barr Virus (VCA IgG) - Serum (Surplus)","LABORATORY",2005
"CARB_D","Pesticides - Carbamates & Organophosphorus Metabolites - Urine","LABORATORY",2005
"ALDUST_D","Allergens - Household Dust","LABORATORY",2005
"PAH_D","Polyaromatic Hydrocarbons (PAHs) - Urine","LABORATORY",2005
"DOXPOL_D","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs)  - Pooled Samples","LABORATORY",2005
"BFRPOL_D","Brominated Flame Retardants (BFRs) - Pooled Samples","LABORATORY",2005
"PCBPOL_D","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples","LABORATORY",2005
"PSTPOL_D","Pesticides - Organochlorine Pesticides - Pooled Samples","LABORATORY",2005
"HPVSRM_D","Human Papillomavirus (HPV) - Multiplexed 6, 11, 16, 18, 31, 33, 45, 52 & 58 Antibody – Serum: 9-plex CLIA","LABORATORY",2005
"SSUVOC_D","Volatile Organic Compound (VOC) Metabolites - Urine (Surplus)","LABORATORY",2005
"SSSAL_D","Salmonella & Campylobacter Antibodies (Surplus)","LABORATORY",2005
"AMDGYD_D","Acrylamide & Glycidamide","LABORATORY",2005
"VID_D","Vitamin D","LABORATORY",2005
"HPVSER_D","Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA","LABORATORY",2005
"HPVSWR_D","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array","LABORATORY",2005
"ACQ_D","Acculturation","QUESTIONNAIRE",2005
"ALQ_D","Alcohol Use","QUESTIONNAIRE",2005
"AGQ_D","Allergy","QUESTIONNAIRE",2005
"BHQ_D","Bowel Health","QUESTIONNAIRE",2005
"BPQ_D","Blood Pressure & Cholesterol","QUESTIONNAIRE",2005
"CDQ_D","Cardiovascular Health","QUESTIONNAIRE",2005
"HSQ_D","Current Health Status","QUESTIONNAIRE",2005
"DPQ_D","Mental Health - Depression Screener","QUESTIONNAIRE",2005
"DEQ_D","Dermatology","QUESTIONNAIRE",2005
"DBQ_D","Diet Behavior & Nutrition","QUESTIONNAIRE",2005
"AUQ_D","Audiometry","QUESTIONNAIRE",2005
"DIQ_D","Diabetes","QUESTIONNAIRE",2005
"DUQ_D","Drug Use","QUESTIONNAIRE",2005
"ECQ_D","Early Childhood","QUESTIONNAIRE",2005
"FSQ_D","Food Security","QUESTIONNAIRE",2005
"HIQ_D","Health Insurance","QUESTIONNAIRE",2005
"HCQ_D","Hepatitis C Follow Up","QUESTIONNAIRE",2005
"HUQ_D","Hospital Utilization & Access to Care","QUESTIONNAIRE",2005
"HOQ_D","Housing Characteristics","QUESTIONNAIRE",2005
"IMQ_D","Immunization","QUESTIONNAIRE",2005
"KIQ_U_D","Kidney Conditions - Urology","QUESTIONNAIRE",2005
"MCQ_D","Medical Conditions","QUESTIONNAIRE",2005
"OHQ_D","Oral Health","QUESTIONNAIRE",2005
"OSQ_D","Osteoporosis","QUESTIONNAIRE",2005
"PUQMEC_D","Pesticide Use","QUESTIONNAIRE",2005
"PAQ_D","Physical Activity","QUESTIONNAIRE",2005
"PAQIAF_D","Physical Activity - Individual Activities","QUESTIONNAIRE",2005
"PFQ_D","Physical Functioning","QUESTIONNAIRE",2005
"RXQ_RX_D","Prescription Medications","QUESTIONNAIRE",2005
"KIQ_P_D","Prostate Conditions","QUESTIONNAIRE",2005
"PSQ_D","Prostate Specific Antigen Follow-up","QUESTIONNAIRE",2005
"RHQ_D","Reproductive Health","QUESTIONNAIRE",2005
"RDQ_D","Respiratory Health","QUESTIONNAIRE",2005
"SXQ_D","Sexual Behavior","QUESTIONNAIRE",2005
"SLQ_D","Sleep Disorders","QUESTIONNAIRE",2005
"SMQ_D","Smoking - Cigarette Use","QUESTIONNAIRE",2005
"SMQFAM_D","Smoking - Household Smokers","QUESTIONNAIRE",2005
"SMQRTU_D","Smoking - Recent Tobacco Use","QUESTIONNAIRE",2005
"SSQ_D","Social Support","QUESTIONNAIRE",2005
"VIQ_D","Vision","QUESTIONNAIRE",2005
"WHQMEC_D","Weight History - Youth","QUESTIONNAIRE",2005
"WHQ_D","Weight History","QUESTIONNAIRE",2005
"OCQ_D","Occupation","QUESTIONNAIRE",2005
"DEMO_E","Demographic Variables & Sample Weights","DEMOGRAPHICS",2007
"DS1IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day","DIETARY",2007
"DS2IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day","DIETARY",2007
"DSQIDS_E","Dietary Supplement Use 30 Day - Individual Dietary Supplements","DIETARY",2007
"DSQTOT_E","Dietary Supplement Use 30-Day - Total Dietary Supplements","DIETARY",2007
"DS1TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day","DIETARY",2007
"DS2TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day","DIETARY",2007
"DR1IFF_E","Dietary Interview - Individual Foods, First Day","DIETARY",2007
"DR2IFF_E","Dietary Interview - Individual Foods, Second Day","DIETARY",2007
"DR1TOT_E","Dietary Interview - Total Nutrient Intakes, First Day","DIETARY",2007
"DR2TOT_E","Dietary Interview - Total Nutrient Intakes, Second Day","DIETARY",2007
"DRXMCD_E","Dietary Interview Technical Support File - Modification Codes","DIETARY",2007
"DRXFCD_E","Dietary Interview Technical Support File - Food Codes","DIETARY",2007
"VIX_E","Vision","EXAMINATION",2007
"BPX_E","Blood Pressure","EXAMINATION",2007
"OPXFDT_E","Ophthalmology - Frequency Doubling Technology","EXAMINATION",2007
"OHX_E","Oral Health","EXAMINATION",2007
"DXXFEM_E","Dual Energy X-ray Absorptiometry - Femur","EXAMINATION",2007
"BMX_E","Body Measures","EXAMINATION",2007
"AUX_E","Audiometry","EXAMINATION",2007
"AUXTYM_E","Audiometry - Tympanometry","EXAMINATION",2007
"ENX_E","Exhaled Nitric Oxide","EXAMINATION",2007
"SPX_E","Spirometry - Pre and Post-Bronchodilator","EXAMINATION",2007
"SPXRAW_E","Spirometry - Raw Curve Data","EXAMINATION",2007
"AUXAR_E","Audiometry - Acoustic Reflex","EXAMINATION",2007
"OPXRET_E","Ophthalmology - Retinal Imaging","EXAMINATION",2007
"DXXSPN_E","Dual Energy X-ray Absorptiometry - Spine","EXAMINATION",2007
"HEPC_E","Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype","LABORATORY",2007
"HEPA_E","Hepatitis A Antibody","LABORATORY",2007
"HEPBD_E","Hepatitis B: Core Antibody, Surface Antigen; Hepatitis D Antibody","LABORATORY",2007
"HEPB_S_E","Hepatitis B Surface Antibody","LABORATORY",2007
"CRP_E","C-Reactive Protein (CRP)","LABORATORY",2007
"PSA_E","Prostate Specific Antigen (PSA)","LABORATORY",2007
"CBC_E","Complete Blood Count with 5-part Differential - Whole Blood","LABORATORY",2007
"GLU_E","Plasma Fasting Glucose & Insulin","LABORATORY",2007
"GHB_E","Glycohemoglobin","LABORATORY",2007
"FASTQX_E","Fasting Questionnaire","LABORATORY",2007
"UCPREG_E","Pregnancy Test - Urine","LABORATORY",2007
"THYROD_E","Thyroid Profile","LABORATORY",2007
"FERTIN_E","Ferritin","LABORATORY",2007
"TFR_E","Transferrin Receptor","LABORATORY",2007
"UHM_E","Metals - Urine","LABORATORY",2007
"UHG_E","Mercury: Inorganic - Urine","LABORATORY",2007
"UIO_E","Iodine - Urine","LABORATORY",2007
"UAS_E","Arsenics - Total & Speciated - Urine","LABORATORY",2007
"PbCd_E","Cadmium, Lead, & Total Mercury - Blood","LABORATORY",2007
"ALB_CR_E","Albumin & Creatinine - Urine","LABORATORY",2007
"BIOPRO_E","Standard Biochemistry Profile","LABORATORY",2007
"HIV_E","HIV Antibody Test","LABORATORY",2007
"TCHOL_E","Cholesterol - Total","LABORATORY",2007
"TRIGLY_E","Cholesterol - LDL & Triglycerides","LABORATORY",2007
"OGTT_E","Oral Glucose Tolerance Test","LABORATORY",2007
"HDL_E","Cholesterol - HDL","LABORATORY",2007
"COTNAL_E","Cotinine - Serum & Total NNAL - Urine","LABORATORY",2007
"ApoB_E","Apolipoprotein B","LABORATORY",2007
"HSV_E","Herpes Simplex Virus Type-1 & Type-2","LABORATORY",2007
"EPH_E","Environmental Phenols","LABORATORY",2007
"PFC_E","Polyfluoroalkyl Chemicals","LABORATORY",2007
"PP_E","Pesticides - Environmental - Urine","LABORATORY",2007
"PHTHTE_E","Phthalates - Urine","LABORATORY",2007
"HPVSWR_E","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array","LABORATORY",2007
"UPP_E","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)","LABORATORY",2007
"CHLMDA_E","Chlamydia & Gonorrhea - Urine","LABORATORY",2007
"SSUSG_E","Urine Specific Gravity Measurement (Surplus)","LABORATORY",2007
"PERNT_E","Perchlorate, Nitrate & Thiocyanate - Urine","LABORATORY",2007
"FOLATE_E","Folate - RBC & Serum","LABORATORY",2007
"SSEBV_E","Epstein-Barr Virus (VCA IgG) - Serum (Surplus)","LABORATORY",2007
"OPD_E","Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine","LABORATORY",2007
"PHYTO_E","Phytoestrogens - Urine","LABORATORY",2007
"PAH_E","Polyaromatic Hydrocarbons (PAHs) - Urine","LABORATORY",2007
"FOLFMS_E","Folate Forms - Individual - Serum","LABORATORY",2007
"IHg_E","Mercury: Inorganic - Blood","LABORATORY",2007
"BFRPOL_E","Brominated Flame Retardants (BFRs) - Pooled Samples","LABORATORY",2007
"PCBPOL_E","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples","LABORATORY",2007
"PSTPOL_E","Pesticides - Organochlorine Pesticides - Pooled Samples","LABORATORY",2007
"HPVSER_E","Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody – Serum: 4-plex CLIA","LABORATORY",2007
"UPHOPM_E","Pyrethroids, Herbicides, & OP Metabolites - Urine","LABORATORY",2007
"DOXPOL_E","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples","LABORATORY",2007
"VIT_B6_E","Vitamin B6","LABORATORY",2007
"CARB_E","Pesticides - Carbamates & Organophosphorus Metabolites - Urine","LABORATORY",2007
"VOC_E","Volatile Organic Compounds - Water & Related Questionnaire Items","LABORATORY",2007
"DEET_E","DEET and Metabolites","LABORATORY",2007
"UAM_E","Atrazine and Metabolites","LABORATORY",2007
"VID_E","Vitamin D","LABORATORY",2007
"VOCWB_E","Volatile Organic Compounds - Blood & Related Questionnaire Items","LABORATORY",2007
"VOCMWB_E","Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood","LABORATORY",2007
"SSKL_E","Klotho - Serum (Surplus)","LABORATORY",2007
"ALQ_E","Alcohol Use","QUESTIONNAIRE",2007
"BHQ_E","Bowel Health","QUESTIONNAIRE",2007
"BPQ_E","Blood Pressure & Cholesterol","QUESTIONNAIRE",2007
"CDQ_E","Cardiovascular Health","QUESTIONNAIRE",2007
"ECQ_E","Early Childhood","QUESTIONNAIRE",2007
"HSQ_E","Current Health Status","QUESTIONNAIRE",2007
"IMQ_E","Immunization","QUESTIONNAIRE",2007
"KIQ_P_E","Prostate Conditions","QUESTIONNAIRE",2007
"KIQ_U_E","Kidney Conditions - Urology","QUESTIONNAIRE",2007
"MCQ_E","Medical Conditions","QUESTIONNAIRE",2007
"OHQ_E","Oral Health","QUESTIONNAIRE",2007
"PAQ_E","Physical Activity","QUESTIONNAIRE",2007
"PFQ_E","Physical Functioning","QUESTIONNAIRE",2007
"PUQMEC_E","Pesticide Use","QUESTIONNAIRE",2007
"SMQFAM_E","Smoking - Household Smokers","QUESTIONNAIRE",2007
"SMQRTU_E","Smoking - Recent Tobacco Use","QUESTIONNAIRE",2007
"SSQ_E","Social Support","QUESTIONNAIRE",2007
"VIQ_E","Vision","QUESTIONNAIRE",2007
"WHQ_E","Weight History","QUESTIONNAIRE",2007
"WHQMEC_E","Weight History - Youth","QUESTIONNAIRE",2007
"HIQ_E","Health Insurance","QUESTIONNAIRE",2007
"OSQ_E","Osteoporosis","QUESTIONNAIRE",2007
"AUQ_E","Audiometry","QUESTIONNAIRE",2007
"RDQ_E","Respiratory Health","QUESTIONNAIRE",2007
"SXQ_E","Sexual Behavior","QUESTIONNAIRE",2007
"DIQ_E","Diabetes","QUESTIONNAIRE",2007
"HUQ_E","Hospital Utilization & Access to Care","QUESTIONNAIRE",2007
"SMQ_E","Smoking - Cigarette Use","QUESTIONNAIRE",2007
"SLQ_E","Sleep Disorders","QUESTIONNAIRE",2007
"ACQ_E","Acculturation","QUESTIONNAIRE",2007
"DPQ_E","Mental Health - Depression Screener","QUESTIONNAIRE",2007
"HOQ_E","Housing Characteristics","QUESTIONNAIRE",2007
"DUQ_E","Drug Use","QUESTIONNAIRE",2007
"RHQ_E","Reproductive Health","QUESTIONNAIRE",2007
"RXQ_RX_E","Prescription Medications","QUESTIONNAIRE",2007
"CBQ_E","Consumer Behavior","QUESTIONNAIRE",2007
"DBQ_E","Diet Behavior & Nutrition","QUESTIONNAIRE",2007
"HCQ_E","Hepatitis C Follow Up","QUESTIONNAIRE",2007
"INQ_E","Income","QUESTIONNAIRE",2007
"FSQ_E","Food Security","QUESTIONNAIRE",2007
"AQQ_E","Air Quality","QUESTIONNAIRE",2007
"OCQ_E","Occupation","QUESTIONNAIRE",2007
"CBQPFA_E","Consumer Behavior Phone Follow-up Module - Adult","QUESTIONNAIRE",2007
"CBQPFC_E","Consumer Behavior Phone Follow-up Module - Child","QUESTIONNAIRE",2007
"DEMO_F","Demographic Variables & Sample Weights","DEMOGRAPHICS",2009
"DS2TOT_F","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day","DIETARY",2009
"DTQ_F","Dietary Screener Questionnaire","DIETARY",2009
"DS1IDS_F","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day","DIETARY",2009
"DS2IDS_F","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day","DIETARY",2009
"DSQIDS_F","Dietary Supplement Use 30 Day - Individual Dietary Supplements","DIETARY",2009
"DSQTOT_F","Dietary Supplement Use 30-Day - Total Dietary Supplements","DIETARY",2009
"DS1TOT_F","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day","DIETARY",2009
"DR1IFF_F","Dietary Interview - Individual Foods, First Day","DIETARY",2009
"DR2IFF_F","Dietary Interview - Individual Foods, Second Day","DIETARY",2009
"DR1TOT_F","Dietary Interview - Total Nutrient Intakes, First Day","DIETARY",2009
"DR2TOT_F","Dietary Interview - Total Nutrient Intakes, Second Day","DIETARY",2009
"DRXFCD_F","Dietary Interview Technical Support File - Food Codes","DIETARY",2009
"DRXMCD_F","Dietary Interview Technical Support File - Modification Codes","DIETARY",2009
"ENX_F","Exhaled Nitric Oxide","EXAMINATION",2009
"ARX_F","Arthritis Body Measures","EXAMINATION",2009
"BMX_F","Body Measures","EXAMINATION",2009
"BPX_F","Blood Pressure","EXAMINATION",2009
"OHXDEN_F","Oral Health - Dentition","EXAMINATION",2009
"SPX_F","Spirometry - Pre and Post-Bronchodilator","EXAMINATION",2009
"SPXRAW_F","Spirometry - Raw Curve Data","EXAMINATION",2009
"OHXPER_F","Oral Health - Periodontal","EXAMINATION",2009
"OHXREF_F","Oral Health - Recommendation of Care","EXAMINATION",2009
"AUX_F","Audiometry","EXAMINATION",2009
"AUXTYM_F","Audiometry - Tympanometry","EXAMINATION",2009
"AUXAR_F","Audiometry - Acoustic Reflex","EXAMINATION",2009
"DXXSPN_F","Dual Energy X-ray Absorptiometry - Spine","EXAMINATION",2009
"DXXFEM_F","Dual Energy X-ray Absorptiometry - Femur","EXAMINATION",2009
"FLXCLN_F","Fluorosis - Clinical","EXAMINATION",2009
"UCPREG_F","Pregnancy Test - Urine","LABORATORY",2009
"HDL_F","Cholesterol - HDL","LABORATORY",2009
"FOLATE_F","Folate - RBC & Serum","LABORATORY",2009
"HEPA_F","Hepatitis A Antibody","LABORATORY",2009
"HEPBD_F","Hepatitis B: Core Antibody, Surface Antigen; Hepatitis D Antibody","LABORATORY",2009
"HIV_F","HIV Antibody Test","LABORATORY",2009
"HSV_F","Herpes Simplex Virus Type-1 & Type-2","LABORATORY",2009
"MMRV_F","Measles, Mumps, Rubella & Varicella","LABORATORY",2009
"PbCd_F","Cadmium, Lead, & Total Mercury - Blood","LABORATORY",2009
"TCHOL_F","Cholesterol - Total","LABORATORY",2009
"TGEMA_F","Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA)","LABORATORY",2009
"UHG_F","Mercury: Inorganic - Urine","LABORATORY",2009
"CBC_F","Complete Blood Count with 5-part Differential - Whole Blood","LABORATORY",2009
"COTNAL_F","Cotinine - Serum & Total NNAL - Urine","LABORATORY",2009
"GHB_F","Glycohemoglobin","LABORATORY",2009
"ORHPV_F","Human Papillomavirus (HPV) - Oral Rinse","LABORATORY",2009
"IHg_F","Mercury: Inorganic - Blood","LABORATORY",2009
"BIOPRO_F","Standard Biochemistry Profile","LABORATORY",2009
"UAS_F","Arsenics - Total & Speciated - Urine","LABORATORY",2009
"UHM_F","Metals - Urine","LABORATORY",2009
"PSA_F","Prostate Specific Antigen (PSA)","LABORATORY",2009
"ALB_CR_F","Albumin & Creatinine - Urine","LABORATORY",2009
"CHLMDA_F","Chlamydia - Urine","LABORATORY",2009
"CRP_F","C-Reactive Protein (CRP)","LABORATORY",2009
"FASTQX_F","Fasting Questionnaire","LABORATORY",2009
"GLU_F","Plasma Fasting Glucose & Insulin","LABORATORY",2009
"HEPB_S_F","Hepatitis B Surface Antibody","LABORATORY",2009
"HEPC_F","Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype","LABORATORY",2009
"UIO_F","Iodine - Urine","LABORATORY",2009
"UCFLOW_F","Urine Flow Rate","LABORATORY",2009
"UCOSMO_F","Osmolality - Urine","LABORATORY",2009
"OGTT_F","Oral Glucose Tolerance Test","LABORATORY",2009
"TRIGLY_F","Cholesterol - LDL & Triglycerides","LABORATORY",2009
"THYROD_F","Thyroid Profile","LABORATORY",2009
"EPH_F","Environmental Phenols","LABORATORY",2009
"PP_F","Pesticides - Environmental - Urine","LABORATORY",2009
"PFC_F","Polyfluoroalkyl Chemicals","LABORATORY",2009
"HPVSWR_F","Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array","LABORATORY",2009
"FERTIN_F","Ferritin","LABORATORY",2009
"TFR_F","Transferrin Receptor","LABORATORY",2009
"HEPE_F","Hepatitis E : IgG & IgM Antibodies","LABORATORY",2009
"ApoB_F","Apolipoprotein B","LABORATORY",2009
"SSEBV_F","Epstein-Barr Virus (VCA IgG) - Serum (Surplus)","LABORATORY",2009
"PHTHTE_F","Phthalates - Urine","LABORATORY",2009
"PHYTO_F","Phytoestrogens - Urine","LABORATORY",2009
"SSHPV_F","Human Papillomavirus (HPV) Viral Load - Oral Rinse - Oral High-Risk HPV Infections (Surplus)","LABORATORY",2009
"CAFE_F","Caffeine & Caffeine Metabolites - Urine","LABORATORY",2009
"SSTOXO_F","Toxoplasma Gondii Antibody - Serum (Surplus)","LABORATORY",2009
"HPVSER_F","Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum","LABORATORY",2009
"PERNT_F","Perchlorate, Nitrate & Thiocyanate - Urine","LABORATORY",2009
"SSPOLI_F","Poliovirus Serotypes 1, 2, & 3 Antibodies - Serum (Surplus)","LABORATORY",2009
"UPHOPM_F","Pyrethroids, Herbicides, & OP Metabolites - Urine","LABORATORY",2009
"TFA_F","Trans Fatty Acids","LABORATORY",2009
"DEET_F","DEET and Metabolites","LABORATORY",2009
"PAH_F","Polyaromatic Hydrocarbons -Urine","LABORATORY",2009
"VIT_B6_F","Vitamin B6","LABORATORY",2009
"VID_F","Vitamin D","LABORATORY",2009
"VOC_F","Volatile Organic Compounds (VOCs) - Water","LABORATORY",2009
"VOCMWB_F","Volatile Organic Compounds (VOCs) - Trihalomethanes/MTBE/Nitromethane - Blood","LABORATORY",2009
"DOXPOL_F","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples","LABORATORY",2009
"VOCWB_F","Volatile Organic Compounds (VOCs) - Blood","LABORATORY",2009
"PSTPOL_F","Pesticides - Organochlorine Pesticides - Pooled Samples","LABORATORY",2009
"BFRPOL_F","Brominated Flame Retardants (BFRs) - Pooled Samples","LABORATORY",2009
"PCBPOL_F","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples","LABORATORY",2009
"POOLTF_F","Pooled-Sample Technical Support File","LABORATORY",2009
"SSKL_F","Klotho - Serum (Surplus)","LABORATORY",2009
"CBQ_F","Consumer Behavior","QUESTIONNAIRE",2009
"SMQFAM_F","Smoking - Household Smokers","QUESTIONNAIRE",2009
"SMQRTU_F","Smoking - Recent Tobacco Use","QUESTIONNAIRE",2009
"BPQ_F","Blood Pressure & Cholesterol","QUESTIONNAIRE",2009
"RDQ_F","Respiratory Health","QUESTIONNAIRE",2009
"CDQ_F","Cardiovascular Health","QUESTIONNAIRE",2009
"ARQ_F","Arthritis","QUESTIONNAIRE",2009
"MCQ_F","Medical Conditions","QUESTIONNAIRE",2009
"DIQ_F","Diabetes","QUESTIONNAIRE",2009
"RHQ_F","Reproductive Health","QUESTIONNAIRE",2009
"DPQ_F","Mental Health - Depression Screener","QUESTIONNAIRE",2009
"PAQ_F","Physical Activity","QUESTIONNAIRE",2009
"AUQ_F","Audiometry","QUESTIONNAIRE",2009
"AQQ_F","Air Quality","QUESTIONNAIRE",2009
